Id,IsDeleted,MasterRecordId,Name,Type,ParentId,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,BillingLatitude,BillingLongitude,BillingGeocodeAccuracy,BillingAddress,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,ShippingLatitude,ShippingLongitude,ShippingGeocodeAccuracy,ShippingAddress,Phone,Fax,AccountNumber,Website,PhotoUrl,Sic,Industry,AnnualRevenue,NumberOfEmployees,Ownership,TickerSymbol,Description,Rating,Site,OwnerId,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastViewedDate,LastReferencedDate,Jigsaw,JigsawCompanyId,CleanStatus,AccountSource,DunsNumber,Tradestyle,NaicsCode,NaicsDesc,YearStarted,SicDesc,DandbCompanyId,OperatingHoursId,Annual_Spend__c,Credit_Score__c,Days_Since_Last_Purchase__c,External_Id__c,Transactions__c
00111000028LUH7AAO,,,Sample Account for Entitlements,,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/00111000028LUH7AAO,,,,,,,,,,0051100000C33HtAAJ,2021-08-16T20:16:17.000+0000,0051100000C33HtAAJ,2021-08-16T20:16:17.000+0000,0051100000C33HtAAJ,2021-08-16T20:16:17.000+0000,,,,,,Pending,,,,,,,,,,,,,,
00111000028LUUSAA4,,,Web-00000-152,Prospect,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/00111000028LUUSAA4,,Construction,34756.14,536,,,,Cold,,0051100000C6MdYAAV,2021-08-16T21:13:19.000+0000,0051100000C6MdYAAV,2021-08-16T21:13:19.000+0000,0051100000C6MdYAAV,2021-08-16T21:13:20.000+0000,,,,,,Pending,Web,,,,,,,,,,238.88,196.5,152,19
00111000028LUUTAA4,,,Phone Inquiry-00000-120,Other,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/00111000028LUUTAA4,,Agriculture,51172.93,636,,,,Warm,,0051100000C6MdYAAV,2021-08-16T21:13:19.000+0000,0051100000C6MdYAAV,2021-08-16T21:13:19.000+0000,0051100000C6MdYAAV,2021-08-16T21:13:20.000+0000,,,,,,Pending,Phone Inquiry,,,,,,,,,,249.38,264,120,10
00111000028LUUUAA4,,,Purchased List-00000-121,Customer - Channel,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/00111000028LUUUAA4,,Machinery,31707.99,568,,,,Warm,,0051100000C6MdYAAV,2021-08-16T21:13:19.000+0000,0051100000C6MdYAAV,2021-08-16T21:13:19.000+0000,0051100000C6MdYAAV,2021-08-16T21:13:20.000+0000,,,,,,Pending,Purchased List,,,,,,,,,,530.47,187.5,121,13
00111000028LUUVAA4,,,Other-00000-122,Other,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/00111000028LUUVAA4,,Finance,3950.44,425,,,,Primer,,0051100000C6MdYAAV,2021-08-16T21:13:19.000+0000,0051100000C6MdYAAV,2021-08-16T21:13:19.000+0000,0051100000C6MdYAAV,2021-08-16T21:13:20.000+0000,,,,,,Pending,Other,,,,,,,,,,138.48,322.5,122,19
00111000028LUUWAA4,,,Purchased List-00000-123,Customer - Direct,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/00111000028LUUWAA4,,Agriculture,30518.76,406,,,,Cold,,0051100000C6MdYAAV,2021-08-16T21:13:19.000+0000,0051100000C6MdYAAV,2021-08-16T21:13:19.000+0000,0051100000C6MdYAAV,2021-08-16T21:13:20.000+0000,,,,,,Pending,Purchased List,,,,,,,,,,543.99,264,123,13
00111000028LUUXAA4,,,Partner Referral-00000-124,Installation Partner,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/00111000028LUUXAA4,,Agriculture,22761.38,311,,,,Warm,,0051100000C6MdYAAV,2021-08-16T21:13:19.000+0000,0051100000C6MdYAAV,2021-08-16T21:13:19.000+0000,0051100000C6MdYAAV,2021-08-16T21:13:20.000+0000,,,,,,Pending,Partner Referral,,,,,,,,,,540.35,223.5,124,17
00111000028LUUYAA4,,,Web-00000-125,Other,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/00111000028LUUYAA4,,Agriculture,69611.5,377,,,,Unrated,,0051100000C6MdYAAV,2021-08-16T21:13:19.000+0000,0051100000C6MdYAAV,2021-08-16T21:13:19.000+0000,0051100000C6MdYAAV,2021-08-16T21:13:20.000+0000,,,,,,Pending,Web,,,,,,,,,,301.37,138,125,17
00111000028LUUZAA4,,,Purchased List-00000-126,Prospect,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/00111000028LUUZAA4,,Construction,77360.11,104,,,,Primer,,0051100000C6MdYAAV,2021-08-16T21:13:19.000+0000,0051100000C6MdYAAV,2021-08-16T21:13:19.000+0000,0051100000C6MdYAAV,2021-08-16T21:13:20.000+0000,,,,,,Pending,Purchased List,,,,,,,,,,462.28,138,126,13
00111000028LUYgAAO,,,Web-00000-389,Other,,,,,,,,,,,,,,,,,,,,,,,,/services/images/photo/00111000028LUYgAAO,,Agriculture,81564.31,539,,,,Unrated,,0051100000C6MdYAAV,2021-08-16T21:13:21.000+0000,0051100000C6MdYAAV,2021-08-16T21:13:21.000+0000,0051100000C6MdYAAV,2021-08-16T21:13:22.000+0000,,,,,,Pending,Web,,,,,,,,,,136.28,120,389,11
