External_Id__c,AccountSource,Industry,Rating,Type,AnnualRevenue,Credit_Score__c,Days_Since_Last_Purchase__c,Transactions__c,NumberOfEmployees,Name
0,Web,Finance,Warm,Installation Partner,17437.27,484.5,156.0,12,730,Web-00000-0
1,Partner Referral,Telecommunications,Cold,Customer - Direct,42929.55,261.77,390.0,15,16,Partner Referral-00000-1
2,Partner Referral,Agriculture,Warm,Customer - Channel,27971.22,459.76,300.0,17,189,Partner Referral-00000-2
3,Purchased List,Finance,Hot,Customer - Channel,42271.65,221.39,273.0,17,513,Purchased List-00000-3
4,Purchased List,Finance,Warm,Prospect,52333.9,184.5,223.5,16,609,Purchased List-00000-4
5,Partner Referral,Construction,Hot,Installation Partner,63574.58,284.35,84.0,15,631,Partner Referral-00000-5
6,Phone Inquiry,Construction,Warm,Installation Partner,85578.1,95.52,34.5,18,133,Phone Inquiry-00000-6
7,Web,Finance,Unrated,Installation Partner,5630.88,277.93,219.0,20,554,Web-00000-7
8,Purchased List,Telecommunications,Unrated,Customer - Channel,34166.19,288.41,385.5,11,391,Purchased List-00000-8
9,Web,Telecommunications,Cold,Prospect,4180.39,348.31,340.5,13,544,Web-00000-9
10,Other,Machinery,Hot,Other,68186.65,551.22,138.0,12,70,Other-00000-10
11,Other,Construction,Cold,Customer - Direct,69058.7,50.57,43.5,14,694,Other-00000-11
12,Partner Referral,Construction,Warm,Customer - Direct,76968.31,510.69,75.0,11,130,Partner Referral-00000-12
13,Web,Construction,Cold,Installation Partner,33633.02,584.4,282.0,14,77,Web-00000-13
14,Other,Agriculture,Unrated,Prospect,24574.06,211.06,102.0,22,474,Other-00000-14
15,Web,Machinery,Unrated,Installation Partner,66774.05,472.67,196.5,14,135,Web-00000-15
16,Other,Agriculture,Hot,Customer - Direct,4302.65,477.88,241.5,18,388,Other-00000-16
17,Phone Inquiry,Construction,Hot,Customer - Channel,35870.27,280.85,115.5,22,223,Phone Inquiry-00000-17
18,Purchased List,Construction,Hot,Customer - Direct,54936.65,477.87,79.5,18,310,Purchased List-00000-18
19,Phone Inquiry,Machinery,Cold,Customer - Direct,25651.94,443.33,277.5,19,133,Phone Inquiry-00000-19
20,Purchased List,Finance,Warm,Customer - Direct,40468.87,473.08,228.0,18,12,Purchased List-00000-20
21,Other,Finance,Unrated,Customer - Channel,18198.26,414.12,178.5,21,185,Other-00000-21
22,Web,Telecommunications,Unrated,Prospect,63116.96,372.55,169.5,14,513,Web-00000-22
23,Phone Inquiry,Construction,Warm,Prospect,19876.91,610.83,115.5,11,614,Phone Inquiry-00000-23
24,Other,Machinery,Warm,Installation Partner,59310.91,317.3,138.0,11,680,Other-00000-24
25,Partner Referral,Construction,Warm,Other,3577.11,459.75,291.0,18,302,Partner Referral-00000-25
26,Partner Referral,Agriculture,Warm,Prospect,48101.1,257.12,52.5,20,499,Partner Referral-00000-26
27,Web,Agriculture,Primer,Prospect,36656.63,494.48,286.5,16,163,Web-00000-27
28,Purchased List,Machinery,Hot,Prospect,49592.08,342.72,102.0,17,579,Purchased List-00000-28
29,Web,Agriculture,Unrated,Other,42892.91,209.09,160.5,21,408,Web-00000-29
30,Phone Inquiry,Finance,Cold,Customer - Channel,33495.39,331.83,268.5,14,620,Phone Inquiry-00000-30
31,Partner Referral,Construction,Warm,Installation Partner,4880.14,369.68,412.5,13,179,Partner Referral-00000-31
32,Web,Agriculture,Primer,Customer - Channel,27247.73,482.24,178.5,13,658,Web-00000-32
33,Other,Telecommunications,Warm,Installation Partner,62224.99,45.44,169.5,18,462,Other-00000-33
34,Other,Agriculture,Hot,Other,22767.73,360.87,120.0,13,833,Other-00000-34
35,Web,Telecommunications,Hot,Customer - Channel,51479.33,452.12,313.5,11,203,Web-00000-35
36,Purchased List,Telecommunications,Hot,Customer - Channel,47868.86,319.57,250.5,17,389,Purchased List-00000-36
37,Web,Telecommunications,Warm,Installation Partner,38821.38,174.33,300.0,13,657,Web-00000-37
38,Phone Inquiry,Construction,Hot,Prospect,26821.0,227.61,255.0,20,455,Phone Inquiry-00000-38
39,Purchased List,Agriculture,Hot,Prospect,25335.12,214.06,61.5,24,194,Purchased List-00000-39
40,Other,Construction,Unrated,Customer - Channel,29759.62,421.08,282.0,18,296,Other-00000-40
41,Phone Inquiry,Agriculture,Cold,Prospect,30415.27,182.95,228.0,19,555,Phone Inquiry-00000-41
42,Partner Referral,Finance,Unrated,Installation Partner,48329.86,358.98,241.5,17,427,Partner Referral-00000-42
43,Purchased List,Construction,Hot,Customer - Direct,11881.85,312.71,169.5,17,743,Purchased List-00000-43
44,Other,Machinery,Warm,Customer - Channel,47126.85,506.34,93.0,18,336,Other-00000-44
45,Purchased List,Construction,Hot,Prospect,55591.8,247.45,223.5,18,405,Purchased List-00000-45
46,Partner Referral,Finance,Primer,Customer - Channel,12740.54,472.17,93.0,17,660,Partner Referral-00000-46
47,Other,Finance,Cold,Customer - Channel,55724.07,414.62,241.5,12,471,Other-00000-47
48,Purchased List,Machinery,Unrated,Installation Partner,22637.21,140.18,358.5,17,440,Purchased List-00000-48
49,Purchased List,Construction,Primer,Customer - Channel,42939.57,294.6,286.5,19,181,Purchased List-00000-49
50,Partner Referral,Finance,Cold,Customer - Direct,32669.54,321.94,133.5,13,824,Partner Referral-00000-50
51,Other,Construction,Primer,Installation Partner,63000.89,146.21,336.0,15,129,Other-00000-51
52,Other,Machinery,Hot,Other,52564.96,539.41,241.5,14,12,Other-00000-52
53,Phone Inquiry,Machinery,Unrated,Other,25871.07,310.53,264.0,18,467,Phone Inquiry-00000-53
54,Web,Telecommunications,Hot,Prospect,4926.27,795.96,97.5,12,26,Web-00000-54
55,Purchased List,Telecommunications,Primer,Installation Partner,37612.38,179.34,201.0,17,677,Purchased List-00000-55
56,Phone Inquiry,Machinery,Cold,Installation Partner,10606.96,760.87,178.5,11,32,Phone Inquiry-00000-56
57,Purchased List,Telecommunications,Primer,Prospect,72784.87,200.33,264.0,13,335,Purchased List-00000-57
58,Partner Referral,Agriculture,Primer,Other,91173.27,73.06,138.0,12,346,Partner Referral-00000-58
59,Partner Referral,Construction,Hot,Installation Partner,22356.25,464.81,228.0,13,634,Partner Referral-00000-59
60,Partner Referral,Telecommunications,Primer,Customer - Channel,41843.43,151.53,349.5,18,171,Partner Referral-00000-60
61,Other,Agriculture,Unrated,Customer - Channel,64796.8,344.2,88.5,12,626,Other-00000-61
62,Phone Inquiry,Machinery,Warm,Customer - Direct,41828.83,304.05,187.5,18,559,Phone Inquiry-00000-62
63,Purchased List,Finance,Primer,Customer - Direct,62869.76,387.42,120.0,17,389,Purchased List-00000-63
64,Web,Finance,Hot,Other,50116.31,320.09,214.5,18,381,Web-00000-64
65,Purchased List,Agriculture,Primer,Prospect,63298.64,265.87,147.0,20,199,Purchased List-00000-65
66,Partner Referral,Finance,Unrated,Other,21359.96,316.19,268.5,21,42,Partner Referral-00000-66
67,Purchased List,Machinery,Cold,Customer - Channel,62758.04,283.08,183.0,18,316,Purchased List-00000-67
68,Other,Telecommunications,Warm,Customer - Channel,60813.62,161.23,363.0,12,206,Other-00000-68
69,Other,Construction,Cold,Other,66678.16,239.92,196.5,15,498,Other-00000-69
70,Purchased List,Construction,Unrated,Installation Partner,10727.22,416.25,277.5,18,371,Purchased List-00000-70
71,Web,Telecommunications,Cold,Prospect,13322.11,75.0,30.0,22,619,Web-00000-71
72,Other,Machinery,Primer,Installation Partner,44638.62,113.87,309.0,14,606,Other-00000-72
73,Partner Referral,Telecommunications,Unrated,Other,35647.08,23.44,196.5,18,698,Partner Referral-00000-73
74,Partner Referral,Telecommunications,Cold,Prospect,30153.67,121.85,331.5,13,636,Partner Referral-00000-74
75,Other,Telecommunications,Primer,Prospect,10352.15,416.34,129.0,19,597,Other-00000-75
76,Phone Inquiry,Agriculture,Primer,Prospect,41743.32,315.04,277.5,13,587,Phone Inquiry-00000-76
77,Phone Inquiry,Construction,Unrated,Prospect,7538.79,363.11,210.0,21,372,Phone Inquiry-00000-77
78,Purchased List,Telecommunications,Cold,Prospect,48723.9,184.76,133.5,17,683,Purchased List-00000-78
79,Phone Inquiry,Agriculture,Unrated,Prospect,44907.79,453.23,66.0,16,582,Phone Inquiry-00000-79
80,Other,Telecommunications,Unrated,Customer - Direct,53111.37,170.44,34.5,11,836,Other-00000-80
81,Web,Finance,Primer,Customer - Direct,3930.56,310.58,210.0,19,580,Web-00000-81
82,Web,Finance,Cold,Installation Partner,21236.46,416.96,57.0,15,767,Web-00000-82
83,Phone Inquiry,Machinery,Hot,Customer - Direct,52948.64,342.49,124.5,19,351,Phone Inquiry-00000-83
84,Partner Referral,Machinery,Unrated,Installation Partner,87335.76,100.8,237.0,10,193,Partner Referral-00000-84
85,Partner Referral,Machinery,Cold,Customer - Channel,44756.74,101.87,268.5,10,726,Partner Referral-00000-85
86,Other,Telecommunications,Cold,Prospect,38745.94,99.81,309.0,18,427,Other-00000-86
87,Web,Finance,Warm,Installation Partner,66343.23,157.6,286.5,14,392,Web-00000-87
88,Purchased List,Agriculture,Hot,Customer - Direct,13175.5,379.91,403.5,14,85,Purchased List-00000-88
89,Partner Referral,Finance,Warm,Prospect,39036.39,428.29,241.5,10,611,Partner Referral-00000-89
90,Partner Referral,Telecommunications,Hot,Prospect,35705.7,586.18,264.0,13,267,Partner Referral-00000-90
91,Other,Agriculture,Warm,Installation Partner,38405.33,537.99,169.5,12,558,Other-00000-91
92,Phone Inquiry,Finance,Primer,Customer - Direct,32101.37,497.5,309.0,15,239,Phone Inquiry-00000-92
93,Partner Referral,Machinery,Unrated,Other,76227.02,105.12,295.5,13,226,Partner Referral-00000-93
94,Purchased List,Construction,Unrated,Installation Partner,61790.1,203.49,169.5,14,647,Purchased List-00000-94
95,Partner Referral,Telecommunications,Primer,Prospect,40985.77,404.17,268.5,14,496,Partner Referral-00000-95
96,Partner Referral,Finance,Hot,Prospect,53728.33,173.68,282.0,16,437,Partner Referral-00000-96
97,Partner Referral,Machinery,Unrated,Customer - Channel,43103.03,286.26,327.0,14,454,Partner Referral-00000-97
98,Other,Telecommunications,Cold,Other,14853.09,542.56,129.0,15,619,Other-00000-98
99,Phone Inquiry,Machinery,Unrated,Customer - Channel,9231.16,412.23,160.5,21,342,Phone Inquiry-00000-99
100,Web,Machinery,Unrated,Customer - Channel,16512.7,256.54,318.0,20,221,Web-00000-100
101,Web,Telecommunications,Unrated,Prospect,39974.59,499.83,57.0,16,559,Web-00000-101
102,Web,Machinery,Unrated,Other,66425.35,510.54,214.5,12,63,Web-00000-102
103,Other,Machinery,Cold,Other,37488.22,320.56,214.5,19,465,Other-00000-103
104,Other,Telecommunications,Primer,Installation Partner,71604.09,412.01,205.5,11,317,Other-00000-104
105,Partner Referral,Agriculture,Cold,Customer - Channel,66257.23,62.51,300.0,15,359,Partner Referral-00000-105
106,Purchased List,Telecommunications,Primer,Customer - Channel,8166.67,276.29,291.0,14,704,Purchased List-00000-106
107,Partner Referral,Telecommunications,Hot,Customer - Direct,54981.7,445.23,255.0,10,415,Partner Referral-00000-107
108,Partner Referral,Agriculture,Primer,Customer - Direct,42762.53,210.15,277.5,15,603,Partner Referral-00000-108
109,Purchased List,Construction,Cold,Customer - Channel,70281.57,234.64,142.5,18,329,Purchased List-00000-109
110,Purchased List,Construction,Primer,Other,24206.09,292.14,210.0,19,524,Purchased List-00000-110
111,Other,Machinery,Unrated,Customer - Channel,35372.1,111.62,34.5,19,739,Other-00000-111
112,Purchased List,Finance,Unrated,Installation Partner,43938.69,332.01,160.5,21,12,Purchased List-00000-112
113,Purchased List,Construction,Cold,Other,79318.06,321.77,97.5,16,238,Purchased List-00000-113
114,Partner Referral,Machinery,Unrated,Customer - Channel,15673.89,437.39,318.0,18,22,Partner Referral-00000-114
115,Other,Construction,Cold,Customer - Direct,7922.08,616.53,93.0,18,314,Other-00000-115
116,Partner Referral,Machinery,Hot,Other,59636.33,381.52,102.0,17,455,Partner Referral-00000-116
117,Phone Inquiry,Machinery,Primer,Installation Partner,54170.71,389.31,75.0,17,499,Phone Inquiry-00000-117
118,Other,Agriculture,Unrated,Other,19822.11,502.5,318.0,13,387,Other-00000-118
119,Other,Machinery,Warm,Installation Partner,25717.55,401.36,178.5,20,331,Other-00000-119
120,Phone Inquiry,Agriculture,Warm,Other,51172.93,249.38,264.0,10,636,Phone Inquiry-00000-120
121,Purchased List,Machinery,Warm,Customer - Channel,31707.99,530.47,187.5,13,568,Purchased List-00000-121
122,Other,Finance,Primer,Other,3950.44,138.48,322.5,19,425,Other-00000-122
123,Purchased List,Agriculture,Cold,Customer - Direct,30518.76,543.99,264.0,13,406,Purchased List-00000-123
124,Partner Referral,Agriculture,Warm,Installation Partner,22761.38,540.35,223.5,17,311,Partner Referral-00000-124
125,Web,Agriculture,Unrated,Other,69611.5,301.37,138.0,17,377,Web-00000-125
126,Purchased List,Construction,Primer,Prospect,77360.11,462.28,138.0,13,104,Purchased List-00000-126
127,Web,Construction,Warm,Prospect,15979.9,315.35,309.0,11,675,Web-00000-127
128,Purchased List,Construction,Cold,Customer - Direct,60373.95,550.34,115.5,12,370,Purchased List-00000-128
129,Purchased List,Finance,Primer,Customer - Direct,16945.74,425.9,300.0,19,64,Purchased List-00000-129
130,Purchased List,Agriculture,Cold,Customer - Direct,55731.97,415.14,205.5,18,217,Purchased List-00000-130
131,Purchased List,Machinery,Primer,Customer - Direct,7172.97,243.18,313.5,18,521,Purchased List-00000-131
132,Web,Telecommunications,Hot,Other,56895.79,24.15,223.5,18,445,Web-00000-132
133,Purchased List,Finance,Unrated,Installation Partner,17477.4,554.48,102.0,11,704,Purchased List-00000-133
134,Web,Machinery,Hot,Customer - Channel,15757.26,371.66,403.5,14,70,Web-00000-134
135,Other,Construction,Cold,Installation Partner,19067.55,615.8,79.5,16,452,Other-00000-135
136,Purchased List,Finance,Primer,Installation Partner,4822.91,210.34,228.0,22,319,Purchased List-00000-136
137,Purchased List,Machinery,Hot,Customer - Channel,64338.67,62.0,367.5,12,19,Purchased List-00000-137
138,Purchased List,Finance,Unrated,Customer - Direct,72355.88,177.35,237.0,13,454,Purchased List-00000-138
139,Other,Telecommunications,Hot,Customer - Direct,2077.16,649.33,124.5,18,130,Other-00000-139
140,Purchased List,Machinery,Warm,Installation Partner,14155.77,548.92,174.0,11,659,Purchased List-00000-140
141,Web,Construction,Warm,Prospect,26803.37,596.53,219.0,17,10,Web-00000-141
