External_Id__c,Family,Color__c,Material__c,Product_Brand__c,Product_Channels__c,Annual_Production_Volume__c,Average_Margin__c,Batch_Size__c,Suggested_Retail_Price__c,Units_in_Stock__c,IsActive,ProductCode,Name
0,Electronics,White,Fibre,StrikingGold,Retail,38183,54.34,3200,108.57,3000,True,Electronics-White-StrikingGold-000-0,Electronics-White-StrikingGold
1,Electronics,Silver,Alloy,StrikingGold,Community,7487,37.23,4500,131.67,2400,True,Electronics-Silver-StrikingGold-000-1,Electronics-Silver-StrikingGold
2,Appliances,Teal,Acrylic,Better Intensity,Website,60697,31.65,4400,109.77,1700,True,Appliances-Teal-Better Intensity-000-2,Appliances-Teal-Better Intensity
3,Outdoors,Gold,Fibre,Better Intensity,Community,26542,36.56,3800,115.76,4000,True,Outdoors-Gold-Better Intensity-000-3,Outdoors-Gold-Better Intensity
4,Lightning,Gold,Acrylic,Live4Good,Website,7706,45.31,2300,133.8,4000,True,Lightning-Gold-Live4Good-000-4,Lightning-Gold-Live4Good
5,Outdoors,Orange,PVC,ProQuipped,Own Stores,47646,43.95,3200,136.94,1100,True,Outdoors-Orange-ProQuipped-000-5,Outdoors-Orange-ProQuipped
6,Appliances,Orange,PVC,Highlander,Partner,53904,35.04,1900,130.12,3800,True,Appliances-Orange-Highlander-000-6,Appliances-Orange-Highlander
7,Appliances,Orange,Alloy,Highlander,Partner,82466,32.04,1000,128.2,1800,True,Appliances-Orange-Highlander-000-7,Appliances-Orange-Highlander
8,Appliances,Orange,PVC,Highlander,Website,58546,41.08,3800,120.19,1300,True,Appliances-Orange-Highlander-000-8,Appliances-Orange-Highlander
9,Outdoors,Orange,Fibre,Better Intensity,Retail,14465,18.51,4800,124.74,3400,True,Outdoors-Orange-Better Intensity-000-9,Outdoors-Orange-Better Intensity
10,Lightning,Teal,PVC,Live4Good,Website,63532,17.03,3400,141.4,1000,True,Lightning-Teal-Live4Good-000-10,Lightning-Teal-Live4Good
11,Appliances,Orange,Fibre,Highlander,Website,6558,12.27,2400,116.46,5600,True,Appliances-Orange-Highlander-000-11,Appliances-Orange-Highlander
12,Appliances,Silver,Fibre,Live4Good,Retail,29985,15.32,3900,146.81,2600,True,Appliances-Silver-Live4Good-000-12,Appliances-Silver-Live4Good
13,Appliances,Orange,PVC,Better Intensity,Own Stores,11766,11.8,3100,162.07,1600,True,Appliances-Orange-Better Intensity-000-13,Appliances-Orange-Better Intensity
14,Outdoors,Teal,Alloy,Live4Good,Website,61110,32.32,1600,107.83,4400,True,Outdoors-Teal-Live4Good-000-14,Outdoors-Teal-Live4Good
15,Outdoors,Silver,PVC,Better Intensity,Community,10721,56.87,1700,106.68,4200,True,Outdoors-Silver-Better Intensity-000-15,Outdoors-Silver-Better Intensity
16,Electronics,White,Brass,Better Intensity,Own Stores,56776,17.65,3400,144.68,1800,True,Electronics-White-Better Intensity-000-16,Electronics-White-Better Intensity
