External_Id__c,Customer_Account__r.External_Id__c,Product__r.External_Id__c
3,0,54
8,0,75
12,0,68
21,0,23
22,0,49
28,0,21
36,0,64
40,0,74
41,0,76
58,0,93
59,0,5
62,0,79
63,0,53
69,0,84
73,0,19
74,0,96
75,0,25
78,0,2
84,0,86
85,0,31
86,0,50
93,0,63
101,1,67
102,1,22
108,1,38
120,1,90
124,1,24
128,1,79
136,1,41
143,1,34
147,1,89
150,1,98
159,1,91
161,1,30
162,1,11
172,1,45
175,1,43
176,1,50
181,1,85
182,1,59
183,1,52
187,1,73
188,1,17
190,1,27
201,2,58
206,2,33
213,2,88
218,2,34
219,2,43
224,2,90
226,2,75
230,2,84
236,2,19
238,2,49
241,2,35
247,2,16
248,2,9
251,2,64
252,2,62
267,2,65
268,2,85
278,2,23
280,2,47
283,2,45
295,2,68
296,2,76
297,3,55
298,3,97
300,3,74
303,3,73
322,3,81
327,3,60
331,3,51
335,3,39
338,3,87
352,3,15
355,3,52
361,3,10
363,3,57
366,3,71
371,3,17
374,3,28
375,3,38
377,3,58
383,3,94
384,3,45
385,3,19
389,3,11
396,4,81
407,4,10
415,4,12
417,4,59
420,4,64
422,4,51
431,4,40
432,4,1
434,4,14
436,4,88
446,4,46
454,4,96
457,4,92
461,4,65
462,4,85
464,4,18
468,4,71
469,4,60
478,5,92
480,5,78
482,5,13
509,5,42
511,5,2
514,5,9
515,5,27
529,5,86
531,5,95
534,5,16
537,5,76
538,5,4
539,5,58
540,5,39
541,5,90
544,5,43
548,5,57
549,5,25
561,5,12
563,5,49
566,5,5
570,5,15
576,6,44
577,6,87
580,6,63
581,6,92
589,6,14
606,6,60
609,6,24
614,6,89
618,6,35
624,6,53
626,6,97
628,6,58
645,6,30
647,6,23
649,6,4
652,6,40
654,6,6
663,6,61
664,6,15
668,6,34
670,6,52
673,6,56
675,7,0
679,7,10
683,7,51
689,7,33
690,7,18
702,7,78
703,7,36
705,7,65
706,7,46
713,7,96
717,7,57
722,7,49
727,7,48
728,7,14
737,7,97
745,7,31
747,7,55
751,7,68
