Id,External_Id__c,AccountSource,Industry,Rating,Type,AnnualRevenue,Credit_Score__c,Days_Since_Last_Purchase__c,Transactions__c,NumberOfEmployees,Name
001630000144hMpAAI,,,,,,,,,,,Sample Account for Entitlements
001630000144iE9AAI,0,Web,Finance,Warm,Installation Partner,17437.27,484.5,156,12,730,Web-00000-0
001630000144iEAAAY,1,Partner Referral,Telecommunications,Cold,Customer - Direct,42929.55,261.77,390,15,16,Partner Referral-00000-1
001630000144iEBAAY,2,Partner Referral,Agriculture,Warm,Customer - Channel,27971.22,459.76,300,17,189,Partner Referral-00000-2
001630000144iECAAY,3,Purchased List,Finance,Hot,Customer - Channel,42271.65,221.39,273,17,513,Purchased List-00000-3
001630000144iFQAAY,4,Purchased List,Finance,Warm,Prospect,52333.9,184.5,223.5,16,609,Purchased List-00000-4
001630000144iFRAAY,5,Partner Referral,Construction,Hot,Installation Partner,63574.58,284.35,84,15,631,Partner Referral-00000-5
001630000144iFSAAY,6,Phone Inquiry,Construction,Warm,Installation Partner,85578.1,95.52,34.5,18,133,Phone Inquiry-00000-6
001630000144iFTAAY,7,Web,Finance,Unrated,Installation Partner,5630.88,277.93,219,20,554,Web-00000-7
001630000144iFUAAY,8,Purchased List,Telecommunications,Unrated,Customer - Channel,34166.19,288.41,385.5,11,391,Purchased List-00000-8
001630000144iFVAAY,9,Web,Telecommunications,Cold,Prospect,4180.39,348.31,340.5,13,544,Web-00000-9
001630000144iFWAAY,10,Other,Machinery,Hot,Other,68186.65,551.22,138,12,70,Other-00000-10
001630000144iFXAAY,11,Other,Construction,Cold,Customer - Direct,69058.7,50.57,43.5,14,694,Other-00000-11
001630000144iFYAAY,12,Partner Referral,Construction,Warm,Customer - Direct,76968.31,510.69,75,11,130,Partner Referral-00000-12
001630000144iFZAAY,13,Web,Construction,Cold,Installation Partner,33633.02,584.4,282,14,77,Web-00000-13
001630000144iFaAAI,14,Other,Agriculture,Unrated,Prospect,24574.06,211.06,102,22,474,Other-00000-14
001630000144iFbAAI,15,Web,Machinery,Unrated,Installation Partner,66774.05,472.67,196.5,14,135,Web-00000-15
001630000144iFcAAI,16,Other,Agriculture,Hot,Customer - Direct,4302.65,477.88,241.5,18,388,Other-00000-16
001630000144iFdAAI,17,Phone Inquiry,Construction,Hot,Customer - Channel,35870.27,280.85,115.5,22,223,Phone Inquiry-00000-17
001630000144iFeAAI,18,Purchased List,Construction,Hot,Customer - Direct,54936.65,477.87,79.5,18,310,Purchased List-00000-18
