Id,External_Id__c
a0063000008tRjdAAE,3
a0063000008tRjeAAE,8
a0063000008tRjfAAE,12
a0063000008tRjgAAE,21
a0063000008tRjhAAE,22
a0063000008tRjiAAE,28
a0063000008tRjjAAE,36
a0063000008tRjkAAE,40
a0063000008tRjlAAE,41
a0063000008tRjmAAE,58
a0063000008tRjnAAE,59
a0063000008tRjoAAE,62
a0063000008tRjpAAE,63
a0063000008tRjqAAE,69
a0063000008tRjrAAE,73
a0063000008tRjsAAE,74
a0063000008tRjtAAE,75
a0063000008tRjuAAE,78
a0063000008tRjvAAE,84
a0063000008tRjwAAE,85
a0063000008tRjxAAE,86
a0063000008tRjyAAE,93
a0063000008tRjzAAE,101
a0063000008tRk0AAE,102
a0063000008tRk1AAE,108
a0063000008tRk2AAE,120
a0063000008tRk3AAE,124
a0063000008tRk4AAE,128
a0063000008tRk5AAE,136
a0063000008tRk6AAE,143
a0063000008tRk7AAE,147
a0063000008tRk8AAE,150
a0063000008tRk9AAE,159
a0063000008tRkAAAU,161
a0063000008tRkBAAU,162
a0063000008tRkCAAU,172
a0063000008tRkDAAU,175
a0063000008tRkEAAU,176
a0063000008tRkFAAU,181
a0063000008tRkGAAU,182
a0063000008tRkHAAU,183
a0063000008tRkIAAU,187
a0063000008tRkJAAU,188
a0063000008tRkKAAU,190
a0063000008tRkLAAU,201
a0063000008tRkMAAU,206
a0063000008tRkNAAU,213
a0063000008tRkOAAU,218
a0063000008tRkPAAU,219
a0063000008tRkQAAU,224
a0063000008tRkRAAU,226
a0063000008tRkSAAU,230
a0063000008tRkTAAU,236
a0063000008tRkUAAU,238
a0063000008tRkVAAU,241
a0063000008tRkWAAU,247
a0063000008tRkXAAU,248
a0063000008tRkYAAU,251
a0063000008tRkZAAU,252
a0063000008tRkaAAE,267
a0063000008tRkbAAE,268
a0063000008tRkcAAE,278
a0063000008tRkdAAE,280
a0063000008tRkeAAE,283
a0063000008tRkfAAE,295
a0063000008tRkgAAE,296
a0063000008tRkhAAE,297
a0063000008tRkiAAE,298
a0063000008tRkjAAE,300
a0063000008tRkkAAE,303
a0063000008tRklAAE,322
a0063000008tRkmAAE,327
a0063000008tRknAAE,331
a0063000008tRkoAAE,335
a0063000008tRkpAAE,338
a0063000008tRkqAAE,352
a0063000008tRkrAAE,355
a0063000008tRksAAE,361
a0063000008tRktAAE,363
a0063000008tRkuAAE,366
a0063000008tRkvAAE,371
a0063000008tRkwAAE,374
a0063000008tRkxAAE,375
a0063000008tRkyAAE,377
a0063000008tRkzAAE,383
a0063000008tRl0AAE,384
a0063000008tRl1AAE,385
a0063000008tRl2AAE,389
a0063000008tRl3AAE,396
a0063000008tRl4AAE,407
a0063000008tRl5AAE,415
a0063000008tRl6AAE,417
a0063000008tRl7AAE,420
a0063000008tRl8AAE,422
a0063000008tRl9AAE,431
a0063000008tRlAAAU,432
a0063000008tRlBAAU,434
a0063000008tRlCAAU,436
a0063000008tRlDAAU,446
a0063000008tRlEAAU,454
a0063000008tRlFAAU,457
a0063000008tRlGAAU,461
a0063000008tRlHAAU,462
a0063000008tRlIAAU,464
a0063000008tRlJAAU,468
a0063000008tRlKAAU,469
a0063000008tRlLAAU,478
a0063000008tRlMAAU,480
a0063000008tRlNAAU,482
a0063000008tRlOAAU,509
a0063000008tRlPAAU,511
a0063000008tRlQAAU,514
a0063000008tRlRAAU,515
a0063000008tRlSAAU,529
a0063000008tRlTAAU,531
a0063000008tRlUAAU,534
a0063000008tRlVAAU,537
a0063000008tRlWAAU,538
a0063000008tRlXAAU,539
a0063000008tRlYAAU,540
